id;the_geom;id;sub_area;type;types;flats;height;levels
buildings_lambert93.53;MULTIPOLYGON (((911447.4848328151 6234870.710673992, 911439.2078990975 6234877.334696526, 911441.1675604748 6234879.623937093, 911443.8427830664 6234877.487328115, 911445.0149198824 6234878.9719881, 911442.3396974711 6234881.108596566, 911445.6934778232 6234885.557220573, 911453.9740678048 6234878.822091954, 911447.4848328151 6234870.710673992)));669;Boundary2;yes;yes;1;0.0;0
buildings_lambert93.54;MULTIPOLYGON (((911367.8898583055 6234071.420272745, 911372.0008053707 6234072.667947339, 911371.5283509389 6234074.654643269, 911376.7741723511 6234076.05091261, 911378.0919291266 6234070.643726946, 911369.2523578819 6234067.126917684, 911367.8898583055 6234071.420272745)));670;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.55;MULTIPOLYGON (((912106.4284125426 6234158.731893521, 912103.5685893672 6234163.976775306, 912112.6663056774 6234167.058192001, 912111.281299857 6234172.018077379, 912115.8060070619 6234173.05742849, 912118.3540815413 6234162.462910366, 912106.4284125426 6234158.731893521)));673;Boundary5;yes;yes;1;0.0;0
buildings_lambert93.56;MULTIPOLYGON (((911958.8910341193 6233774.544183795, 911966.6965738924 6233767.460205255, 911961.1576623232 6233762.605448678, 911956.4089277982 6233768.344249832, 911958.8910341193 6233774.544183795)));675;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.57;MULTIPOLYGON (((911773.4421379627 6234050.52127734, 911783.7263392037 6234052.19527775, 911785.1287304382 6234044.232520623, 911779.8683021892 6234043.280378777, 911781.2816834887 6234034.984274142, 911776.0989071059 6234034.145932762, 911773.4421379627 6234050.52127734)));677;Boundary5;yes;yes;1;0.0;0
buildings_lambert93.58;MULTIPOLYGON (((911882.9472048697 6234445.128504405, 911884.6579201575 6234442.626526732, 911881.4601471855 6234440.852468377, 911873.1319234844 6234439.131597104, 911872.4856951634 6234441.446229501, 911876.4343336662 6234445.13607068, 911877.6717965321 6234442.173531674, 911882.9472048697 6234445.128504405)));678;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.59;MULTIPOLYGON (((912127.8292047912 6234294.590908578, 912141.5919525849 6234299.3837883165, 912140.7866448318 6234301.58190811, 912142.8752954383 6234302.429564855, 912143.6842747795 6234300.120330376, 912145.6989464451 6234300.74307149, 912149.769551812 6234288.4190965425, 912132.3284096294 6234281.613664344, 912127.8292047912 6234294.590908578)));679;Boundary7;yes;yes;1;0.0;0
buildings_lambert93.60;MULTIPOLYGON (((911409.9573746878 6234000.390438326, 911407.7393857527 6234010.884842196, 911402.2385680221 6234009.813862021, 911401.3420368552 6234014.789969003, 911414.6170942849 6234017.118015027, 911415.1188308394 6234014.242396626, 911409.9433158301 6234013.182119535, 911412.304821187 6234000.801428658, 911409.9573746878 6234000.390438326)));680;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.61;MULTIPOLYGON (((911081.6715517424 6233954.218126795, 911086.0867513982 6233948.690226966, 911080.9320788621 6233944.516298196, 911072.9516870969 6233927.234895504, 911069.902458855 6233928.358266661, 911071.5601458785 6233932.41724444, 911068.9175488345 6233933.553981336, 911075.3892810292 6233949.673430597, 911081.6715517424 6233954.218126795)));682;Boundary4;yes;yes;1;0.0;0
buildings_lambert93.62;MULTIPOLYGON (((912078.9950516062 6234900.5487162145, 912085.1858853371 6234900.419498036, 912085.4414039695 6234902.54141706, 912093.4394837926 6234901.9157244675, 912093.0800672744 6234898.010601209, 912088.8407546015 6234898.204274162, 912088.3034600592 6234892.291032223, 912078.3465033605 6234893.074500505, 912078.9950516062 6234900.5487162145)));684;Boundary0;yes;yes;1;0.0;0
